month	total number of job postings	company
2012-Jan	5	Barclays
2012-Feb	1	Barclays
2012-Mar	14	Barclays
2012-Apr	7	Barclays
2012-May	11	Barclays
2012-Jun	3	Barclays
2012-Jul	4	Barclays
2012-Aug	4	Barclays
2012-Sep	5	Barclays
2012-Oct	10	Barclays
2012-Nov	4	Barclays
2012-Dec	4	Barclays
2013-Jan	69	Barclays
2013-Feb	44	Barclays
2013-Mar	74	Barclays
2013-Apr	243	Barclays
2013-May	153	Barclays
2013-Jun	332	Barclays
2013-Jul	47	Barclays
2013-Aug	70	Barclays
2013-Sep	61	Barclays
2013-Oct	85	Barclays
2013-Nov	90	Barclays
2013-Dec	140	Barclays
2014-Jan	106	Barclays
2014-Feb	87	Barclays
2014-Mar	324	Barclays
2014-Apr	169	Barclays
2014-May	195	Barclays
2014-Jun	156	Barclays
2014-Jul	394	Barclays
2014-Aug	216	Barclays
2014-Sep	265	Barclays
2014-Oct	140	Barclays
2014-Nov	146	Barclays
2014-Dec	36	Barclays
2015-Jan	265	Barclays
2015-Feb	223	Barclays
2015-Mar	198	Barclays
2015-Apr	192	Barclays
2015-May	156	Barclays
2015-Jun	115	Barclays
2015-Jul	138	Barclays
2015-Aug	134	Barclays
2015-Sep	72	Barclays
2015-Oct	80	Barclays
2015-Nov	45	Barclays
2015-Dec	2	Barclays
2016-Jan	13	Barclays
2016-Feb	19	Barclays
2016-Mar	14	Barclays
2016-Apr	13	Barclays
2016-May	33	Barclays
2016-Jun	42	Barclays
2012-Jan	154	Citigroup
2012-Feb	322	Citigroup
2012-Mar	351	Citigroup
2012-Apr	367	Citigroup
2012-May	333	Citigroup
2012-Jun	367	Citigroup
2012-Jul	335	Citigroup
2012-Aug	337	Citigroup
2012-Sep	198	Citigroup
2012-Oct	424	Citigroup
2012-Nov	152	Citigroup
2012-Dec	158	Citigroup
2013-Jan	379	Citigroup
2013-Feb	290	Citigroup
2013-Mar	323	Citigroup
2013-Apr	308	Citigroup
2013-May	128	Citigroup
2013-Jun	182	Citigroup
2013-Jul	1159	Citigroup
2013-Aug	893	Citigroup
2013-Sep	879	Citigroup
2013-Oct	730	Citigroup
2013-Nov	745	Citigroup
2013-Dec	551	Citigroup
2014-Jan	699	Citigroup
2014-Feb	708	Citigroup
2014-Mar	745	Citigroup
2014-Apr	616	Citigroup
2014-May	465	Citigroup
2014-Jun	420	Citigroup
2014-Jul	472	Citigroup
2014-Aug	537	Citigroup
2014-Sep	1185	Citigroup
2014-Oct	417	Citigroup
2014-Nov	237	Citigroup
2014-Dec	168	Citigroup
2015-Jan	119	Citigroup
2015-Feb	409	Citigroup
2015-Mar	319	Citigroup
2015-Apr	862	Citigroup
2015-May	641	Citigroup
2015-Jun	368	Citigroup
2015-Jul	792	Citigroup
2015-Aug	372	Citigroup
2015-Sep	382	Citigroup
2015-Oct	676	Citigroup
2015-Nov	386	Citigroup
2015-Dec	331	Citigroup
2016-Jan	364	Citigroup
2016-Feb	563	Citigroup
2016-Mar	460	Citigroup
2016-Apr	616	Citigroup
2016-May	589	Citigroup
2016-Jun	375	Citigroup
2012-Jan	7	Goldman.Sachs
2012-Feb	5	Goldman.Sachs
2012-Mar	6	Goldman.Sachs
2012-Apr	8	Goldman.Sachs
2012-May	21	Goldman.Sachs
2012-Jun	9	Goldman.Sachs
2012-Jul	93	Goldman.Sachs
2012-Aug	53	Goldman.Sachs
2012-Sep	63	Goldman.Sachs
2012-Oct	78	Goldman.Sachs
2012-Nov	71	Goldman.Sachs
2012-Dec	100	Goldman.Sachs
2013-Jan	83	Goldman.Sachs
2013-Feb	93	Goldman.Sachs
2013-Mar	46	Goldman.Sachs
2013-Apr	81	Goldman.Sachs
2013-May	92	Goldman.Sachs
2013-Jun	92	Goldman.Sachs
2013-Jul	69	Goldman.Sachs
2013-Aug	72	Goldman.Sachs
2013-Sep	124	Goldman.Sachs
2013-Oct	109	Goldman.Sachs
2013-Nov	95	Goldman.Sachs
2013-Dec	90	Goldman.Sachs
2014-Jan	96	Goldman.Sachs
2014-Feb	162	Goldman.Sachs
2014-Mar	172	Goldman.Sachs
2014-Apr	234	Goldman.Sachs
2014-May	175	Goldman.Sachs
2014-Jun	218	Goldman.Sachs
2014-Jul	166	Goldman.Sachs
2014-Aug	185	Goldman.Sachs
2014-Sep	260	Goldman.Sachs
2014-Oct	178	Goldman.Sachs
2014-Nov	107	Goldman.Sachs
2014-Dec	148	Goldman.Sachs
2015-Jan	175	Goldman.Sachs
2015-Feb	139	Goldman.Sachs
2015-Mar	187	Goldman.Sachs
2015-Apr	168	Goldman.Sachs
2015-May	164	Goldman.Sachs
2015-Jun	466	Goldman.Sachs
2015-Jul	355	Goldman.Sachs
2015-Aug	292	Goldman.Sachs
2015-Sep	302	Goldman.Sachs
2015-Oct	249	Goldman.Sachs
2015-Nov	262	Goldman.Sachs
2015-Dec	293	Goldman.Sachs
2016-Jan	322	Goldman.Sachs
2016-Feb	229	Goldman.Sachs
2016-Mar	154	Goldman.Sachs
2016-Apr	164	Goldman.Sachs
2016-May	109	Goldman.Sachs
2016-Jun	102	Goldman.Sachs
2012-Jan	309	JPMorgan.Chase
2012-Feb	558	JPMorgan.Chase
2012-Mar	634	JPMorgan.Chase
2012-Apr	260	JPMorgan.Chase
2012-May	665	JPMorgan.Chase
2012-Jun	634	JPMorgan.Chase
2012-Jul	653	JPMorgan.Chase
2012-Aug	520	JPMorgan.Chase
2012-Sep	503	JPMorgan.Chase
2012-Oct	932	JPMorgan.Chase
2012-Nov	282	JPMorgan.Chase
2012-Dec	344	JPMorgan.Chase
2013-Jan	470	JPMorgan.Chase
2013-Feb	376	JPMorgan.Chase
2013-Mar	620	JPMorgan.Chase
2013-Apr	770	JPMorgan.Chase
2013-May	606	JPMorgan.Chase
2013-Jun	283	JPMorgan.Chase
2013-Jul	1201	JPMorgan.Chase
2013-Aug	928	JPMorgan.Chase
2013-Sep	926	JPMorgan.Chase
2013-Oct	711	JPMorgan.Chase
2013-Nov	773	JPMorgan.Chase
2013-Dec	451	JPMorgan.Chase
2014-Jan	783	JPMorgan.Chase
2014-Feb	892	JPMorgan.Chase
2014-Mar	1799	JPMorgan.Chase
2014-Apr	1325	JPMorgan.Chase
2014-May	1313	JPMorgan.Chase
2014-Jun	745	JPMorgan.Chase
2014-Jul	791	JPMorgan.Chase
2014-Aug	1074	JPMorgan.Chase
2014-Sep	1332	JPMorgan.Chase
2014-Oct	916	JPMorgan.Chase
2014-Nov	1064	JPMorgan.Chase
2014-Dec	979	JPMorgan.Chase
2015-Jan	733	JPMorgan.Chase
2015-Feb	1366	JPMorgan.Chase
2015-Mar	1145	JPMorgan.Chase
2015-Apr	1097	JPMorgan.Chase
2015-May	1515	JPMorgan.Chase
2015-Jun	929	JPMorgan.Chase
2015-Jul	1021	JPMorgan.Chase
2015-Aug	1038	JPMorgan.Chase
2015-Sep	889	JPMorgan.Chase
2015-Oct	1388	JPMorgan.Chase
2015-Nov	999	JPMorgan.Chase
2015-Dec	752	JPMorgan.Chase
2016-Jan	1169	JPMorgan.Chase
2016-Feb	778	JPMorgan.Chase
2016-Mar	1901	JPMorgan.Chase
2016-Apr	1510	JPMorgan.Chase
2016-May	1480	JPMorgan.Chase
2016-Jun	1094	JPMorgan.Chase
2012-Jan	59	Morgan.Stanley
2012-Feb	92	Morgan.Stanley
2012-Mar	136	Morgan.Stanley
2012-Apr	173	Morgan.Stanley
2012-May	188	Morgan.Stanley
2012-Jun	160	Morgan.Stanley
2012-Jul	129	Morgan.Stanley
2012-Aug	115	Morgan.Stanley
2012-Sep	99	Morgan.Stanley
2012-Oct	134	Morgan.Stanley
2012-Nov	90	Morgan.Stanley
2012-Dec	95	Morgan.Stanley
2013-Jan	56	Morgan.Stanley
2013-Feb	175	Morgan.Stanley
2013-Mar	182	Morgan.Stanley
2013-Apr	145	Morgan.Stanley
2013-May	259	Morgan.Stanley
2013-Jun	254	Morgan.Stanley
2013-Jul	284	Morgan.Stanley
2013-Aug	234	Morgan.Stanley
2013-Sep	163	Morgan.Stanley
2013-Oct	134	Morgan.Stanley
2013-Nov	214	Morgan.Stanley
2013-Dec	200	Morgan.Stanley
2014-Jan	152	Morgan.Stanley
2014-Feb	262	Morgan.Stanley
2014-Mar	357	Morgan.Stanley
2014-Apr	265	Morgan.Stanley
2014-May	225	Morgan.Stanley
2014-Jun	171	Morgan.Stanley
2014-Jul	174	Morgan.Stanley
2014-Aug	219	Morgan.Stanley
2014-Sep	419	Morgan.Stanley
2014-Oct	178	Morgan.Stanley
2014-Nov	116	Morgan.Stanley
2014-Dec	36	Morgan.Stanley
2015-Jan	24	Morgan.Stanley
2015-Feb	20	Morgan.Stanley
2015-Mar	34	Morgan.Stanley
2015-Apr	16	Morgan.Stanley
2015-May	523	Morgan.Stanley
2015-Jun	214	Morgan.Stanley
2015-Jul	186	Morgan.Stanley
2015-Aug	285	Morgan.Stanley
2015-Sep	346	Morgan.Stanley
2015-Oct	834	Morgan.Stanley
2015-Nov	85	Morgan.Stanley
2015-Dec	96	Morgan.Stanley
2016-Jan	107	Morgan.Stanley
2016-Feb	33	Morgan.Stanley
2016-Mar	196	Morgan.Stanley
2016-Apr	99	Morgan.Stanley
2016-May	167	Morgan.Stanley
2016-Jun	131	Morgan.Stanley
2012-Jan	39	RBC.Capital.Markets
2012-Feb	31	RBC.Capital.Markets
2012-Mar	56	RBC.Capital.Markets
2012-Apr	33	RBC.Capital.Markets
2012-May	48	RBC.Capital.Markets
2012-Jun	20	RBC.Capital.Markets
2012-Jul	2	RBC.Capital.Markets
2012-Aug	1	RBC.Capital.Markets
2012-Sep	1	RBC.Capital.Markets
2012-Oct	1	RBC.Capital.Markets
2012-Nov	2	RBC.Capital.Markets
2012-Dec	4	RBC.Capital.Markets
2013-Jan	20	RBC.Capital.Markets
2013-Feb	23	RBC.Capital.Markets
2013-Mar	15	RBC.Capital.Markets
2013-Apr	3	RBC.Capital.Markets
2013-May	2	RBC.Capital.Markets
2013-Jun	49	RBC.Capital.Markets
2013-Jul	34	RBC.Capital.Markets
2013-Aug	39	RBC.Capital.Markets
2013-Sep	100	RBC.Capital.Markets
2013-Oct	60	RBC.Capital.Markets
2013-Nov	34	RBC.Capital.Markets
2013-Dec	53	RBC.Capital.Markets
2014-Jan	60	RBC.Capital.Markets
2014-Feb	36	RBC.Capital.Markets
2014-Mar	92	RBC.Capital.Markets
2014-Apr	60	RBC.Capital.Markets
2014-May	44	RBC.Capital.Markets
2014-Jun	30	RBC.Capital.Markets
2014-Jul	65	RBC.Capital.Markets
2014-Aug	47	RBC.Capital.Markets
2014-Sep	97	RBC.Capital.Markets
2014-Oct	40	RBC.Capital.Markets
2014-Nov	13	RBC.Capital.Markets
2014-Dec	34	RBC.Capital.Markets
2015-Jan	85	RBC.Capital.Markets
2015-Feb	49	RBC.Capital.Markets
2015-Mar	87	RBC.Capital.Markets
2015-Apr	69	RBC.Capital.Markets
2015-May	56	RBC.Capital.Markets
2015-Jun	76	RBC.Capital.Markets
2015-Jul	59	RBC.Capital.Markets
2015-Aug	74	RBC.Capital.Markets
2015-Sep	42	RBC.Capital.Markets
2015-Oct	39	RBC.Capital.Markets
2015-Nov	50	RBC.Capital.Markets
2015-Dec	46	RBC.Capital.Markets
2016-Jan	102	RBC.Capital.Markets
2016-Feb	90	RBC.Capital.Markets
2016-Mar	65	RBC.Capital.Markets
2016-Apr	48	RBC.Capital.Markets
2016-May	36	RBC.Capital.Markets
2016-Jun	71	RBC.Capital.Markets
