,Order_Count,Tip_Rate_Mean,Tip_Rate_Sum,Job_Num,Stock_Price_Change_,Stock_Change_Rate,Stock_Mean_Price,Stock_MinMax_Range
Bank of America(investment banking),123,0.0,0.0,422,-13.14898681640625,-0.08873369049969,142.02067982066762,13.883346557617188
Barclays(Investment Bank),170,0.0009803921568627453,0.16666666666666669,70,-0.7331523895263672,-0.055518207173676906,12.768379774960605,0.7419862747192383
BNY Mellon (headquarters),7,0.0,0.0,184,-1.7301864624023438,-0.029259205213884854,59.399723052978516,3.1990585327148438
Citigroup(global markets),258,0.0,0.0,893,-0.1333904266357422,-0.010081391360304545,13.248744574460117,0.6372785568237305
Credit Suisse,624,0.0,0.0,45,-4.8792877197265625,-0.10629678359559959,43.27575423500755,4.8792877197265625
Deutsche Bank,368,0.0,0.0,6,-1.8464794158935547,-0.07736390829716483,22.716895710338246,2.1114845275878906
Goldman Sachs(headquarters),11,0.0,0.0,72,-1.926382064819336,-0.07062516599007283,26.18586861003529,1.9945716857910156
JPMorgan Chase(headquarters),70,0.0,0.0,928,-3.9954261779785156,-0.0856980102389852,44.5558967590332,4.19830322265625
Morgan Stanley(headquarters),158,0.0,0.0,234,-0.7743492126464844,-0.03413663077536891,22.980929027904164,1.8751354217529297
RBC Capital Markets ,1,0.0,0.0,39,-2.2682723999023438,-0.056497184803774296,39.098346190019086,2.625957489013672
UBS(USA)Inc(Private wealth management),17,0.0,0.0,16,-0.4914131164550781,-0.031124573677348773,16.041501131924715,1.2126789093017578
